,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Day,Month,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday
0,15.937377450509228,0,-5.2,37,1.4832396974191326,2000,0.0,0.0,0.0,1,12,0,0,1,1
1,14.2828568570857,1,-5.5,38,0.8944271909999159,2000,0.0,0.0,0.0,1,12,0,0,1,1
2,13.152946437965905,2,-6.0,39,1.0,2000,0.0,0.0,0.0,1,12,0,0,1,1
3,10.344080432788601,3,-6.2,40,0.9486832980505138,2000,0.0,0.0,0.0,1,12,0,0,1,1
4,8.831760866327848,4,-6.0,36,1.51657508881031,2000,0.0,0.0,0.0,1,12,0,0,1,1
5,10.0,5,-6.4,37,1.224744871391589,2000,0.0,0.0,0.0,1,12,0,0,1,1
6,13.45362404707371,6,-6.6,35,1.140175425099138,2000,0.0,0.0,0.0,1,12,0,0,1,1
7,21.447610589527216,7,-7.4,38,0.9486832980505138,2000,0.0,0.0,0.0,1,12,0,0,1,1
8,30.495901363953813,8,-7.6,37,1.0488088481701516,2000,0.01,0.0,0.0,1,12,0,0,1,1
9,22.135943621178654,9,-6.5,27,0.7071067811865476,1928,0.23,0.0,0.0,1,12,0,0,1,1
10,18.411952639521967,10,-3.5,24,1.0954451150103321,1996,0.65,0.0,0.0,1,12,0,0,1,1
11,18.973665961010276,11,-0.5,21,1.140175425099138,1936,0.94,0.0,0.0,1,12,0,0,1,1
12,21.18962010041709,12,1.7,23,1.1832159566199232,2000,1.11,0.0,0.0,1,12,0,0,1,1
13,21.236760581595302,13,2.4,25,1.2649110640673518,2000,1.16,0.0,0.0,1,12,0,0,1,1
14,21.142374511865974,14,3.0,26,1.4142135623730951,2000,1.01,0.0,0.0,1,12,0,0,1,1
15,21.517434791350013,15,2.1,36,1.7888543819998317,2000,0.54,0.0,0.0,1,12,0,0,1,1
16,22.0,16,1.2,54,2.04939015319192,793,0.24,0.0,0.0,1,12,0,0,1,1
